"";"statistic";"bandwidth";"deviance_test_data"
"1";"Deviance";6,54132749402667;3091,85715547894
"2";"Deviance";6,54132749402667;2971,48907920868
"3";"Deviance";6,54132749402667;2991,95744390537
"4";"Deviance";6,54132749402667;3037,18136467778
"5";"Deviance";6,54132749402667;2996,61936670085
"6";"Deviance";6,54132749402667;3020,45007998009
"7";"Deviance";6,54132749402667;3086,9726989682
"8";"Deviance";6,54132749402667;2885,86813611534
"9";"Deviance";6,54132749402667;2988,44820528625
"10";"Deviance";6,54132749402667;2913,35996116415
"11";"Deviance";8,17665936753334;3061,32662125534
"12";"Deviance";8,17665936753334;2949,08086998148
"13";"Deviance";8,17665936753334;2977,82910327282
"14";"Deviance";8,17665936753334;3020,79025606764
"15";"Deviance";8,17665936753334;2990,32208754375
"16";"Deviance";8,17665936753334;3013,97636482433
"17";"Deviance";8,17665936753334;3070,16026071721
"18";"Deviance";8,17665936753334;2869,06429843785
"19";"Deviance";8,17665936753334;2985,96165174401
"20";"Deviance";8,17665936753334;2891,60285708961
"21";"Deviance";9,81199124104;3044,341341841
"22";"Deviance";9,81199124104;2936,64351659062
"23";"Deviance";9,81199124104;2971,28659821047
"24";"Deviance";9,81199124104;3013,58664994207
"25";"Deviance";9,81199124104;2990,07666407907
"26";"Deviance";9,81199124104;3012,06463240163
"27";"Deviance";9,81199124104;3063,20672187008
"28";"Deviance";9,81199124104;2860,62155444221
"29";"Deviance";9,81199124104;2987,19865416515
"30";"Deviance";9,81199124104;2880,75491381349
"31";"Deviance";11,4473231145467;3035,35305143437
"32";"Deviance";11,4473231145467;2930,21494536452
"33";"Deviance";11,4473231145467;2968,76755634718
"34";"Deviance";11,4473231145467;3011,16190552771
"35";"Deviance";11,4473231145467;2992,46705082416
"36";"Deviance";11,4473231145467;3012,53127791402
"37";"Deviance";11,4473231145467;3061,40963893143
"38";"Deviance";11,4473231145467;2857,04517065992
"39";"Deviance";11,4473231145467;2989,81624347323
"40";"Deviance";11,4473231145467;2875,88336504236
"41";"Deviance";13,0826549880533;3030,57135525737
"42";"Deviance";13,0826549880533;2926,9276735983
"43";"Deviance";13,0826549880533;2968,10358612593
"44";"Deviance";13,0826549880533;3010,8760466307
"45";"Deviance";13,0826549880533;2995,55553375644
"46";"Deviance";13,0826549880533;3013,89859002781
"47";"Deviance";13,0826549880533;3061,85174808706
"48";"Deviance";13,0826549880533;2855,83442463327
"49";"Deviance";13,0826549880533;2992,63352837306
"50";"Deviance";13,0826549880533;2873,92243074817
"51";"Deviance";14,71798686156;3027,95457775181
"52";"Deviance";14,71798686156;2925,23409291574
"53";"Deviance";14,71798686156;2968,22965939046
"54";"Deviance";14,71798686156;3011,41492755211
"55";"Deviance";14,71798686156;2998,55820486332
"56";"Deviance";14,71798686156;3015,45952470085
"57";"Deviance";14,71798686156;3063,09731160663
"58";"Deviance";14,71798686156;2855,7048163751
"59";"Deviance";14,71798686156;2995,20294147491
"60";"Deviance";14,71798686156;2873,30503084928
"61";"Deviance";16,3533187350667;3026,48744221848
"62";"Deviance";16,3533187350667;2924,34976615987
"63";"Deviance";16,3533187350667;2968,65897464759
"64";"Deviance";16,3533187350667;3012,24058286375
"65";"Deviance";16,3533187350667;3001,20458703758
"66";"Deviance";16,3533187350667;3016,94049851043
"67";"Deviance";16,3533187350667;3064,55417235335
"68";"Deviance";16,3533187350667;2856,02926734543
"69";"Deviance";16,3533187350667;2997,3924174832
"70";"Deviance";16,3533187350667;2873,30055082409
